Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close,Volume,3MA,5MA
"Sep 11, 2024",65100.0,65500.0,64200.0,64900.0,64537.88,35809707,64836.21,63981.008
"Sep 10, 2024",67000.0,67300.0,66000.0,66200.0,65830.63,30651376,65432.86000000001,64617.43800000001
"Sep 9, 2024",66900.0,68200.0,66600.0,67500.0,67123.38,23263298,65830.63,65492.528000000006
"Sep 6, 2024",69100.0,69700.0,68000.0,68900.0,68515.56,19022299,67156.52333333333,66387.504
"Sep 5, 2024",70100.0,71200.0,69000.0,69000.0,68615.01,25686769,68084.65,66924.492
"Sep 4, 2024",69800.0,71100.0,69800.0,70000.0,69609.43,27366563,68913.33333333333,67938.802
"Sep 3, 2024",74100.0,74300.0,72500.0,72500.0,72095.48,16314599,70106.64,69191.772
"Sep 2, 2024",74500.0,74700.0,73500.0,74400.0,73984.88,12641376,71896.59666666666,70564.072
"Aug 30, 2024",74400.0,75000.0,74100.0,74300.0,73885.44,16358520,73321.93333333333,71638.048
"Aug 29, 2024",73600.0,74700.0,73500.0,74000.0,73587.11,16884479,73819.14333333333,72632.468
"Aug 28, 2024",75800.0,76400.0,75400.0,76400.0,75973.72,9794514,74482.09,73905.326
"Aug 27, 2024",75700.0,76500.0,75600.0,75800.0,75377.07,11130145,74979.3,74561.644
"Aug 26, 2024",78100.0,78200.0,76000.0,76100.0,75675.39,15655938,75675.39333333333,74899.746
"Aug 23, 2024",77700.0,78400.0,77500.0,77700.0,77266.47,9420306,76106.31,75575.952
"Aug 22, 2024",78700.0,78900.0,77800.0,78300.0,77863.12,8149101,76934.99333333333,76431.15400000001
"Aug 21, 2024",77900.0,78600.0,77800.0,78300.0,77863.12,7805598,77664.23666666665,76809.034
"Aug 20, 2024",79500.0,79800.0,78700.0,78900.0,78459.77,10683836,78062.00333333333,77425.574
"Aug 19, 2024",80100.0,80100.0,78000.0,78300.0,77863.12,14146565,78062.00333333333,77863.12
"Aug 16, 2024",79400.0,80200.0,78700.0,80200.0,79752.52,22061478,78691.80333333333,78360.33
"Aug 14, 2024",77400.0,77800.0,77000.0,77200.0,76769.26,13246168,78128.29999999999,78141.55799999999
"Aug 13, 2024",76500.0,76600.0,75500.0,76100.0,75675.39,10716261,77399.05666666666,77704.012
"Aug 12, 2024",75200.0,75900.0,74800.0,75500.0,75078.74,9839259,75841.12999999999,77027.806
"Aug 9, 2024",75700.0,75800.0,74200.0,74700.0,74283.2,16388222,75012.44333333334,76311.822
"Aug 8, 2024",73200.0,73900.0,72500.0,73400.0,72990.46,28414729,74117.46666666666,74959.41
"Aug 7, 2024",73000.0,76000.0,72800.0,74700.0,74283.2,32710428,73852.28666666667,74462.198
"Aug 6, 2024",74900.0,75300.0,72300.0,72500.0,72095.48,47295226,73123.04666666666,73746.216
"Aug 5, 2024",76700.0,76900.0,70200.0,71400.0,71001.62,54608790,72460.09999999999,72930.792
"Aug 2, 2024",81000.0,81400.0,79500.0,79600.0,79155.87,25800275,74084.32333333332,73905.326
"Aug 1, 2024",86000.0,86100.0,83100.0,83100.0,82636.34,20900338,77597.94333333333,75834.502
"Jul 31, 2024",81200.0,83900.0,80900.0,83900.0,83431.88,20744323,81741.36333333333,77664.23799999998
"Jul 30, 2024",80400.0,81000.0,80000.0,81000.0,80548.05,13169636,82205.42333333332,79354.75200000001
"Jul 29, 2024",81600.0,82000.0,81100.0,81200.0,80746.94,12797136,81575.62333333334,81303.81599999999
"Jul 26, 2024",80700.0,81300.0,80400.0,80900.0,80448.61,14508334,80581.2,81562.364
"Jul 25, 2024",80400.0,81000.0,80100.0,80400.0,79951.4,20323811,80382.31666666667,81025.376
"Jul 24, 2024",82900.0,83300.0,81900.0,82000.0,81542.48,16939083,80647.49666666666,80647.496
"Jul 23, 2024",84200.0,84700.0,83400.0,83900.0,83431.88,15766389,81641.92,81224.26199999999
"Jul 22, 2024",84400.0,84900.0,82600.0,83000.0,82536.89,18987560,82503.74999999999,81582.25200000001
"Jul 19, 2024",85600.0,86100.0,84100.0,84400.0,83929.09,18569122,83299.28666666667,82278.348
"Jul 18, 2024",83800.0,86900.0,83800.0,86900.0,86415.13,24721790,84293.70333333332,83571.09400000001
"Jul 17, 2024",87100.0,88000.0,86400.0,86700.0,86216.25,18186490,85520.15666666666,84505.848
"Jul 16, 2024",86900.0,88000.0,86700.0,87700.0,87210.67,16166688,86614.01666666666,85261.606
"Jul 15, 2024",84700.0,87300.0,84100.0,86700.0,86216.25,25193080,86547.72333333333,85997.478
"Jul 12, 2024",85900.0,86100.0,84100.0,84400.0,83929.09,26344386,85785.33666666667,85997.478
"Jul 11, 2024",88500.0,88800.0,86700.0,87600.0,87111.23,24677608,85752.18999999999,86136.698
"Jul 10, 2024",87600.0,88000.0,87100.0,87800.0,87310.11,17813847,86116.81,86355.47
"Jul 9, 2024",87800.0,88200.0,86900.0,87800.0,87310.11,21336201,87243.81666666667,86375.358
"Jul 8, 2024",87900.0,88600.0,86900.0,87400.0,86912.34,24035809,87177.51999999999,86514.576
"Jul 5, 2024",85600.0,87100.0,85200.0,87100.0,86614.02,45791193,86945.48999999999,87051.562
"Jul 4, 2024",82900.0,84700.0,82400.0,84600.0,84127.97,43857229,85884.77666666667,86454.91
"Jul 3, 2024",82300.0,82300.0,81000.0,81800.0,81343.59,11440328,84028.52666666666,85261.606
"Jul 2, 2024",82500.0,82600.0,81500.0,81800.0,81343.59,14471904,82271.71666666666,84068.302
"Jul 1, 2024",81500.0,82100.0,81300.0,81800.0,81343.59,11317202,81343.59,82954.552
"Jun 28, 2024",81900.0,81900.0,80800.0,81500.0,81045.27,9455929,81244.15,81840.802
"Jun 27, 2024",81300.0,81600.0,80500.0,81600.0,81144.7,11739720,81177.85333333333,81244.148
"Jun 26, 2024",80100.0,81400.0,79900.0,81300.0,80487.39,17783242,80892.45333333332,81072.90800000001
"Jun 25, 2024",80600.0,81800.0,80100.0,80800.0,79992.39,19088458,80541.49333333333,80802.66799999999
"Jun 24, 2024",79700.0,80900.0,79500.0,80600.0,79794.39,15454227,80091.39,80492.82800000001
"Jun 21, 2024",80700.0,80800.0,80000.0,80000.0,79200.39,17907523,79662.39,80123.852
"Jun 20, 2024",81500.0,82200.0,81200.0,81600.0,80784.39,20288913,79926.39,80051.79000000001
"Jun 19, 2024",81100.0,82500.0,80500.0,81200.0,80388.39,24168863,80124.39,80031.98999999999
"Jun 18, 2024",78700.0,80200.0,78600.0,79800.0,79002.38,18207598,80058.38666666666,79833.98799999998
"Jun 17, 2024",79200.0,79500.0,78000.0,78100.0,77319.38,16123051,78903.38333333332,79338.986
"Jun 14, 2024",79700.0,80500.0,79000.0,79600.0,78804.38,22926612,78375.38,79259.78400000001
"Jun 13, 2024",78400.0,79000.0,77800.0,78600.0,77814.38,33763804,77979.38,78665.782
"Jun 12, 2024",75300.0,77100.0,75200.0,76500.0,75735.37,19246725,77451.37666666666,77735.178
"Jun 11, 2024",75900.0,76000.0,75100.0,75200.0,74448.37,16971175,75999.37333333334,76824.376
"Jun 10, 2024",76100.0,76600.0,75600.0,75700.0,74943.37,14598755,75042.37,76349.174
"Jun 7, 2024",78400.0,78600.0,77100.0,77300.0,76527.37,21189349,75306.37,75893.772
"Jun 5, 2024",78000.0,78000.0,76800.0,77400.0,76626.37,23177968,76032.37,75656.17
"Jun 4, 2024",74900.0,76100.0,74900.0,75300.0,74547.36,14098053,75900.36666666665,75418.568
"Jun 3, 2024",74400.0,76400.0,74200.0,75700.0,74943.37,15706268,75372.36666666665,75517.568
"May 31, 2024",74500.0,74700.0,73500.0,73500.0,72765.35,26198776,74085.36,75081.96399999999
"May 30, 2024",74800.0,75200.0,73500.0,73500.0,72765.35,28551273,73491.35666666666,74329.56
"May 29, 2024",77700.0,78200.0,75200.0,75200.0,74448.37,30244875,73326.35666666667,73893.96
"May 28, 2024",76500.0,78000.0,76200.0,77600.0,76824.38,18539072,74679.36666666665,74349.364
"May 27, 2024",75300.0,78200.0,74000.0,77200.0,76428.38,43825202,75900.37666666666,74646.36600000001
"May 24, 2024",76800.0,77000.0,75700.0,75900.0,75141.37,27891278,76131.37666666666,75121.57
"May 23, 2024",77700.0,79100.0,77100.0,78300.0,77517.38,18728087,76362.37666666666,76071.976
"May 22, 2024",78100.0,78700.0,77300.0,77700.0,76923.38,19521506,76527.37666666666,76566.978
"May 21, 2024",78500.0,79000.0,78200.0,78400.0,77616.38,13690583,77352.38,76725.378
"May 20, 2024",78100.0,79100.0,77900.0,78900.0,78111.38,19456783,77550.38,77061.978
"May 17, 2024",78600.0,78800.0,77200.0,77400.0,76626.37,15918201,77451.37666666666,77358.978
"May 16, 2024",80200.0,80300.0,78100.0,78200.0,77418.38,20989778,77385.37666666666,77339.178
"May 14, 2024",78600.0,78800.0,77900.0,78300.0,77517.38,11763992,77187.37666666666,77457.978
"May 13, 2024",79400.0,79900.0,77600.0,78400.0,77616.38,18652344,77517.38,77457.978
"May 10, 2024",80400.0,81100.0,78900.0,79200.0,78408.38,16976124,77847.38,77517.378
"May 9, 2024",81100.0,81500.0,79700.0,79700.0,78903.38,18759935,78309.38,77972.78
"May 8, 2024",80800.0,81400.0,80500.0,81300.0,80487.39,13089576,79266.38333333335,78586.58200000001
"May 7, 2024",79600.0,81300.0,79400.0,81300.0,80487.39,26238868,79959.38666666667,79180.584
"May 3, 2024",79000.0,79000.0,77500.0,77600.0,76824.38,13151889,79266.38666666666,79022.184
"May 2, 2024",77600.0,78600.0,77300.0,78000.0,77220.38,18900640,78177.38333333333,78784.584
"Apr 30, 2024",77000.0,78500.0,76600.0,77500.0,76725.38,19007007,76923.38,78348.984
"Apr 29, 2024",77400.0,77600.0,76200.0,76700.0,75933.37,14664474,76626.37666666666,77438.18000000001
"Apr 26, 2024",77800.0,77900.0,76500.0,76700.0,75933.37,12755629,76197.37333333334,76527.376
"Apr 25, 2024",77300.0,77500.0,76300.0,76300.0,75537.37,15549134,75801.37,76269.974
"Apr 24, 2024",77500.0,78800.0,77200.0,78600.0,77814.38,22166150,76428.37333333334,76388.774
"Apr 23, 2024",76400.0,76800.0,75500.0,75500.0,74745.36,18717699,76032.37,75992.76999999999
"Apr 22, 2024",77400.0,77500.0,75100.0,76100.0,75339.37,30469477,75966.37,75873.97
"Apr 19, 2024",78300.0,78700.0,76300.0,77600.0,76824.38,31317563,75636.37,76052.17199999999
"Apr 18, 2024",78800.0,80100.0,78300.0,79600.0,78804.38,21370190,76989.37666666666,76705.574
"Apr 17, 2024",80700.0,80800.0,78900.0,78900.0,78111.38,22611631,77913.38,76764.974
"Apr 16, 2024",81200.0,81300.0,79400.0,80000.0,79200.39,31949845,78705.38333333333,77655.98000000001
"Apr 15, 2024",82900.0,83200.0,81200.0,82200.0,81378.39,26663772,79563.38666666666,78863.78400000001
"Apr 12, 2024",84700.0,84900.0,83200.0,83700.0,82863.41,17061770,81147.39666666667,80071.59000000001
"Apr 11, 2024",83200.0,84700.0,82500.0,84100.0,83259.41,25538009,82500.40333333332,80962.596
"Apr 9, 2024",84500.0,84900.0,83100.0,83600.0,82764.41,23725956,82962.40999999999,81893.202
"Apr 8, 2024",85200.0,86000.0,84500.0,84500.0,83655.41,18953232,83226.40999999999,82784.206
"Apr 5, 2024",84500.0,85000.0,83800.0,84500.0,83655.41,18883752,83358.40999999999,83239.61000000002
"Apr 4, 2024",85200.0,85500.0,84300.0,85300.0,84447.41,25248934,83919.40999999999,83556.41
"Apr 3, 2024",84300.0,85000.0,83500.0,84100.0,83259.41,30493347,83787.40999999999,83556.41
"Apr 2, 2024",82900.0,85000.0,82900.0,85000.0,84150.41,37077944,83952.40999999999,83833.61
"Apr 1, 2024",83200.0,83300.0,82000.0,82000.0,81180.4,20116513,82863.40666666666,83338.60800000001
"Mar 29, 2024",81200.0,82500.0,80900.0,82400.0,81576.4,27126366,82302.40333333332,82922.806
"Mar 28, 2024",79400.0,81000.0,79200.0,80800.0,79992.39,25084812,80916.39666666665,82031.802
"Mar 27, 2024",79200.0,80000.0,79200.0,79800.0,78644.99,17424595,80071.26,81108.91799999999
"Mar 26, 2024",79700.0,80100.0,79200.0,79900.0,78743.54,30551494,79126.97333333333,80027.544
"Mar 25, 2024",79600.0,79800.0,77800.0,78200.0,77068.16,18703996,78152.23,79205.09599999999
"Mar 22, 2024",79600.0,79900.0,77800.0,78900.0,77758.02,26724761,77856.57333333332,78441.42
"Mar 21, 2024",79200.0,79300.0,77700.0,79300.0,78152.22,44569799,77659.46666666667,78073.386
"Mar 20, 2024",73700.0,77200.0,73400.0,76900.0,75786.97,50106297,77232.40333333332,77501.782
"Mar 19, 2024",72300.0,73000.0,71700.0,72800.0,71746.31,15376066,75228.5,76102.33600000001
"Mar 18, 2024",72600.0,73000.0,72500.0,72800.0,71746.31,11520348,73093.19666666666,75037.96599999999
"Mar 15, 2024",73400.0,73700.0,72300.0,72300.0,71253.55,22580555,71582.05666666666,73737.072
"Mar 14, 2024",74400.0,74500.0,73600.0,74300.0,73224.59,22545539,72074.81666666667,72751.546
"Mar 13, 2024",73700.0,74100.0,73500.0,74100.0,73027.49,15243134,72501.87666666666,72199.65
"Mar 12, 2024",72600.0,73500.0,72100.0,73300.0,72239.07,13011654,72830.38333333335,72298.202
"Mar 11, 2024",72900.0,73100.0,72300.0,72400.0,71352.09,9740504,72206.21666666666,72219.35800000001
"Mar 8, 2024",72800.0,73400.0,72600.0,73300.0,72239.07,19271349,71943.40999999999,72416.462
"Mar 7, 2024",73100.0,73300.0,72200.0,72200.0,71155.0,14516963,71582.05333333333,72002.54400000001
"Mar 6, 2024",73200.0,73500.0,72700.0,72900.0,71844.86,21547905,71746.31,71766.018
"Mar 5, 2024",74600.0,74800.0,73700.0,73700.0,72633.28,19505125,71877.71333333333,71844.86000000002
"Mar 4, 2024",74300.0,75000.0,74000.0,74900.0,73815.91,23210474,72764.68333333333,72337.624
"Feb 29, 2024",72600.0,73400.0,72000.0,73400.0,72337.63,21176403,72928.94,72357.336
"Feb 28, 2024",72900.0,73900.0,72800.0,73200.0,72140.52,11795859,72764.68666666666,72554.44
"Feb 27, 2024",73100.0,73400.0,72700.0,72900.0,71844.86,13201981,72107.67,72554.44
"Feb 26, 2024",72300.0,73200.0,72200.0,72800.0,71746.31,14669352,71910.56333333334,72377.046
"Feb 23, 2024",73600.0,74200.0,72900.0,72900.0,71844.86,16225166,71812.01,71982.83600000001
"Feb 22, 2024",73800.0,73900.0,72700.0,73100.0,72041.97,15208934,71877.71333333333,71923.704
"Feb 21, 2024",73400.0,73700.0,72900.0,73000.0,71943.41,11503495,71943.41333333333,71884.282
"Feb 20, 2024",73700.0,73700.0,72800.0,73300.0,72239.07,14681477,72074.81666666667,71963.124
"Feb 19, 2024",72800.0,73900.0,72800.0,73800.0,72731.84,12726404,72304.77333333333,72160.23000000001
"Feb 16, 2024",73300.0,73400.0,72500.0,72800.0,71746.31,13444781,72239.07333333332,72140.52
"Feb 15, 2024",74200.0,74400.0,73000.0,73200.0,72140.52,14120600,72206.22333333333,72160.23000000001
"Feb 14, 2024",73700.0,74300.0,73700.0,74000.0,72928.95,12434945,72271.92666666665,72357.33799999999
"Feb 13, 2024",74800.0,75200.0,74400.0,75200.0,74111.58,21966745,73060.34999999999,72731.84
"Feb 8, 2024",75000.0,75200.0,73600.0,74100.0,73027.49,20810708,73356.00666666665,72790.97
"Feb 7, 2024",74600.0,75500.0,74300.0,75000.0,73914.46,16566445,73684.51,73224.6
"Feb 6, 2024",74300.0,74700.0,73300.0,74400.0,73323.14,14559254,73421.69666666667,73461.124
"Feb 5, 2024",74200.0,74800.0,73500.0,74300.0,73224.59,19026021,73487.39666666667,73520.25200000001
"Feb 2, 2024",74000.0,75200.0,73700.0,75200.0,74111.58,14955881,73553.10333333332,73520.25200000001
"Feb 1, 2024",73000.0,74200.0,72900.0,73600.0,72534.73,19881033,73290.29999999999,73421.7
"Jan 31, 2024",73400.0,74000.0,72500.0,72700.0,71647.76,15703560,72764.68999999999,72968.36
"Jan 30, 2024",75000.0,75300.0,73700.0,74300.0,73224.59,12244418,72469.02666666666,72948.65
"Jan 29, 2024",73800.0,75200.0,73500.0,74400.0,73323.14,13976521,72731.83,72968.36000000002
"Jan 26, 2024",73700.0,74500.0,73300.0,73400.0,72337.63,11160062,72961.78666666667,72613.56999999999
"Jan 25, 2024",74200.0,74800.0,73700.0,74100.0,73027.49,11737747,72896.08666666667,72712.122
"Jan 24, 2024",75200.0,75200.0,73500.0,74000.0,72928.95,12860661,72764.69,72968.36000000002
"Jan 23, 2024",75700.0,75800.0,74300.0,75200.0,74111.58,14786224,73356.00666666667,73145.758
"Jan 22, 2024",75900.0,76000.0,75000.0,75100.0,74013.02,19673375,73684.51666666666,73283.73400000001
"Jan 19, 2024",73500.0,74700.0,73000.0,74700.0,73618.8,23363427,73914.46666666666,73539.96800000001
"Jan 18, 2024",71600.0,72000.0,70700.0,71700.0,70662.23,17853397,72764.68333333333,73066.916
"Jan 17, 2024",73100.0,73300.0,71000.0,71000.0,69972.37,22683660,71417.79999999999,72475.6
"Jan 16, 2024",73500.0,73700.0,72500.0,72600.0,71549.2,14760415,70727.93333333333,71963.124
"Jan 15, 2024",73200.0,74000.0,73200.0,73900.0,72830.39,2957915,71450.65333333332,71726.598
"Jan 12, 2024",73000.0,74100.0,72800.0,73100.0,72041.97,13038939,72140.52,71411.232
"Jan 11, 2024",72900.0,73600.0,72700.0,73200.0,72140.52,57691266,72337.62666666666,71706.89
"Jan 10, 2024",75000.0,75200.0,73200.0,73600.0,72534.73,20259529,72239.07333333332,72219.362
"Jan 9, 2024",77400.0,77700.0,74300.0,74700.0,73618.8,26019249,72764.68333333333,72633.282
"Jan 8, 2024",77000.0,77500.0,76400.0,76500.0,75392.76,11088724,73848.76333333332,73145.75600000001
"Jan 5, 2024",76700.0,77100.0,76400.0,76600.0,75491.3,11304316,74834.28666666667,73835.622
"Jan 4, 2024",76100.0,77300.0,76100.0,76600.0,75491.3,15324439,75458.45333333332,74505.778
"Jan 3, 2024",78500.0,78800.0,77000.0,77000.0,75885.52,21753644,75622.70666666667,75175.93600000002
