Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Apr 22, 2024",77400.00,77500.00,75100.00,76100.00,75339.37,30469477
"Apr 19, 2024",78300.00,78700.00,76300.00,77600.00,76824.38,31317563
"Apr 18, 2024",78800.00,80100.00,78300.00,79600.00,78804.38,21370190
"Apr 17, 2024",80700.00,80800.00,78900.00,78900.00,78111.38,22611631
"Apr 16, 2024",81200.00,81300.00,79400.00,80000.00,79200.39,31949845
"Apr 15, 2024",82900.00,83200.00,81200.00,82200.00,81378.39,26663772
"Apr 12, 2024",84700.00,84900.00,83200.00,83700.00,82863.41,17061770
"Apr 11, 2024",83200.00,84700.00,82500.00,84100.00,83259.41,25538009
"Apr 9, 2024",84500.00,84900.00,83100.00,83600.00,82764.41,23725956
"Apr 8, 2024",85200.00,86000.00,84500.00,84500.00,83655.41,18953232
"Apr 5, 2024",84500.00,85000.00,83800.00,84500.00,83655.41,18883752
"Apr 4, 2024",85200.00,85500.00,84300.00,85300.00,84447.41,25248934
"Apr 3, 2024",84300.00,85000.00,83500.00,84100.00,83259.41,30493347
"Apr 2, 2024",82900.00,85000.00,82900.00,85000.00,84150.41,37077944
"Apr 1, 2024",83200.00,83300.00,82000.00,82000.00,81180.40,20116513
"Mar 29, 2024",81200.00,82500.00,80900.00,82400.00,81576.40,27126366
"Mar 28, 2024",361.00 Dividend,361.00 Dividend,361.00 Dividend,361.00 Dividend,361.00 Dividend,361.00 Dividend
"Mar 28, 2024",79400.00,81000.00,79200.00,80800.00,79992.39,25084812
"Mar 27, 2024",79200.00,80000.00,79200.00,79800.00,78644.99,17424595
"Mar 26, 2024",79700.00,80100.00,79200.00,79900.00,78743.54,30551494
"Mar 25, 2024",79600.00,79800.00,77800.00,78200.00,77068.16,18703996
"Mar 22, 2024",79600.00,79900.00,77800.00,78900.00,77758.02,26724761
"Mar 21, 2024",79200.00,79300.00,77700.00,79300.00,78152.22,44569799
"Mar 20, 2024",73700.00,77200.00,73400.00,76900.00,75786.97,50106297
"Mar 19, 2024",72300.00,73000.00,71700.00,72800.00,71746.31,15376066
"Mar 18, 2024",72600.00,73000.00,72500.00,72800.00,71746.31,11520348
"Mar 15, 2024",73400.00,73700.00,72300.00,72300.00,71253.55,22580555
"Mar 14, 2024",74400.00,74500.00,73600.00,74300.00,73224.59,22545539
"Mar 13, 2024",73700.00,74100.00,73500.00,74100.00,73027.49,15243134
"Mar 12, 2024",72600.00,73500.00,72100.00,73300.00,72239.07,13011654
"Mar 11, 2024",72900.00,73100.00,72300.00,72400.00,71352.09,9740504
"Mar 8, 2024",72800.00,73400.00,72600.00,73300.00,72239.07,19271349
"Mar 7, 2024",73100.00,73300.00,72200.00,72200.00,71155.00,14516963
"Mar 6, 2024",73200.00,73500.00,72700.00,72900.00,71844.86,21547905
"Mar 5, 2024",74600.00,74800.00,73700.00,73700.00,72633.28,19505125
"Mar 4, 2024",74300.00,75000.00,74000.00,74900.00,73815.91,23210474
"Feb 29, 2024",72600.00,73400.00,72000.00,73400.00,72337.63,21176403
"Feb 28, 2024",72900.00,73900.00,72800.00,73200.00,72140.52,11795859
"Feb 27, 2024",73100.00,73400.00,72700.00,72900.00,71844.86,13201981
"Feb 26, 2024",72300.00,73200.00,72200.00,72800.00,71746.31,14669352
"Feb 23, 2024",73600.00,74200.00,72900.00,72900.00,71844.86,16225166
"Feb 22, 2024",73800.00,73900.00,72700.00,73100.00,72041.97,15208934
"Feb 21, 2024",73400.00,73700.00,72900.00,73000.00,71943.41,11503495
"Feb 20, 2024",73700.00,73700.00,72800.00,73300.00,72239.07,14681477
